2025-12-01T16:46:04.210649900 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier2.Status.ForwardPower = 10000 | Depois: PowerAmplifier2.Status.ForwardPower = 10000
2025-12-01T16:47:49.887187200 | DAC: 486 | Esperado: 72.4W | Antes: PowerAmplifier2.Status.ForwardPower = 10000 | Depois: PowerAmplifier2.Status.ForwardPower = 10000
2025-12-01T16:48:41.616647800 | DAC: 470 | Esperado: 50.1W | Antes: PowerAmplifier2.Status.ForwardPower = 10000 | Depois: PowerAmplifier2.Status.ForwardPower = 10000
2025-12-01T16:54:16.848728700 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier2.Status.ForwardPower = 63095 | Depois: PowerAmplifier2.Status.ForwardPower = 63095
2025-12-01T16:58:11.337866100 | DAC: 486 | Esperado: 72.4W | Antes: PowerAmplifier2.Status.ForwardPower = 63095 | Depois: PowerAmplifier2.Status.ForwardPower = 63095
2025-12-01T17:02:21.687397 | DAC: 461 | Esperado: 40.7W | Antes: PowerAmplifier2.Status.ForwardPower = 63095 | Depois: PowerAmplifier2.Status.ForwardPower = 63095
2025-12-01T17:03:03.615864400 | DAC: 486 | Esperado: 72.4W | Antes: PowerAmplifier2.Status.ForwardPower = 63095 | Depois: PowerAmplifier2.Status.ForwardPower = 63095
2025-12-01T17:27:30.457348200 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier2.Status.ForwardPower = 1000 | Depois: PowerAmplifier2.Status.ForwardPower = 7585
2025-12-01T17:34:27.086757800 | DAC: 450 | Esperado: 30.6W | Antes: PowerAmplifier2.Status.ForwardPower = 19952 | Depois: PowerAmplifier2.Status.ForwardPower = 19952
2025-12-01T17:35:20.283327600 | DAC: 461 | Esperado: 40.7W | Antes: PowerAmplifier2.Status.ForwardPower = 31622 | Depois: PowerAmplifier2.Status.ForwardPower = 31622
2025-12-01T17:55:57.686391500 | DAC: 461 | Esperado: 40.7W | Antes: PowerAmplifier2.Status.ForwardPower = 40738 | Depois: PowerAmplifier2.Status.ForwardPower = 40738
2025-12-02T10:27:25.961506200 | DAC: 486 | Esperado: 72.4W | Antes: PowerAmplifier2.Status.ForwardPower = 40738 | Depois: PowerAmplifier2.Status.ForwardPower = 48977
2025-12-02T10:47:58.465828200 | DAC: 430 | Esperado: 10W | Antes: PowerAmplifier2.Status.ForwardPower = 72443 | Depois: PowerAmplifier2.Status.ForwardPower = 66069
