2025-12-03T15:38:33.554900 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 5011
2025-12-03T15:40:14.186883500 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 19952 | Depois: PowerAmplifier1.Status.ForwardPower = 19952
2025-12-03T15:42:03.946414200 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 9332 | Depois: PowerAmplifier1.Status.ForwardPower = 9332
2025-12-03T16:14:14.137886800 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1258 | Depois: PowerAmplifier1.Status.ForwardPower = 1023
2025-12-03T16:16:00.158697500 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1258
2025-12-03T16:17:49.580636700 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 5011
2025-12-03T16:19:31.845590 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 6918
2025-12-03T16:21:15.506064100 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 19952 | Depois: PowerAmplifier1.Status.ForwardPower = 25703
2025-12-03T16:23:07.214771100 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 9549 | Depois: PowerAmplifier1.Status.ForwardPower = 3467
2025-12-03T16:24:47.972736300 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1230
