2025-12-02T10:49:17.374370800 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier3.Status.ForwardPower = 0 | Depois: PowerAmplifier3.Status.ForwardPower = 0
2025-12-02T10:51:56.366809 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier3.Status.ForwardPower = 1000 | Depois: PowerAmplifier3.Status.ForwardPower = 1584
2025-12-02T15:35:34.265769600 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier3.Status.ForwardPower = 1 | Depois: PowerAmplifier3.Status.ForwardPower = 446
2025-12-02T15:39:48.779189 | DAC: 430 | Esperado: 10W | Antes: PowerAmplifier3.Status.ForwardPower = 2454 | Depois: PowerAmplifier3.Status.ForwardPower = 7762
2025-12-03T16:14:18.695230400 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier3.Status.ForwardPower = 0 | Depois: PowerAmplifier3.Status.ForwardPower = 1258
2025-12-03T16:16:04.696813200 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier3.Status.ForwardPower = 1000 | Depois: PowerAmplifier3.Status.ForwardPower = 1380
2025-12-03T16:17:54.529600900 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier3.Status.ForwardPower = 2511 | Depois: PowerAmplifier3.Status.ForwardPower = 5011
2025-12-03T16:19:36.641697900 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier3.Status.ForwardPower = 5011 | Depois: PowerAmplifier3.Status.ForwardPower = 5011
2025-12-03T16:21:20.628875 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier3.Status.ForwardPower = 19952 | Depois: PowerAmplifier3.Status.ForwardPower = 30902
2025-12-03T16:23:12.248226300 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier3.Status.ForwardPower = 72443 | Depois: PowerAmplifier3.Status.ForwardPower = 72443
2025-12-03T16:24:57.350912500 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier3.Status.ForwardPower = 1000 | Depois: PowerAmplifier3.Status.ForwardPower = 1000
2025-12-03T16:26:36.837764900 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier3.Status.ForwardPower = 2511 | Depois: PowerAmplifier3.Status.ForwardPower = 2511
2025-12-03T16:28:17.803622800 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier3.Status.ForwardPower = 5011 | Depois: PowerAmplifier3.Status.ForwardPower = 5011
2025-12-03T16:30:02.321996 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier3.Status.ForwardPower = 19952 | Depois: PowerAmplifier3.Status.ForwardPower = 33884
2026-01-05T10:33:14.286000500 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier3.Status.ForwardPower = 0 | Depois: PowerAmplifier3.Status.ForwardPower = 0
2026-01-05T10:49:59.649505200 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier3.Status.ForwardPower = 0 | Depois: PowerAmplifier3.Status.ForwardPower = 0
2026-01-12T17:22:20.593352 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier3.Status.ForwardPower = 0 | Depois: PowerAmplifier3.Status.ForwardPower = 28183
2026-01-12T17:24:08.035438 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier3.Status.ForwardPower = 1000 | Depois: PowerAmplifier3.Status.ForwardPower = 1000
2026-01-12T17:25:48.404899 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier3.Status.ForwardPower = 0 | Depois: PowerAmplifier3.Status.ForwardPower = 47862
2026-01-12T17:30:55.110461300 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier3.Status.ForwardPower = 0 | Depois: PowerAmplifier3.Status.ForwardPower = 39810
2026-01-12T17:31:52.760534800 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier3.Status.ForwardPower = 1000 | Depois: PowerAmplifier3.Status.ForwardPower = 616
2026-01-12T17:37:32.640281900 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier3.Status.ForwardPower = 177 | Depois: PowerAmplifier3.Status.ForwardPower = 245
2026-01-13T16:24:13.355170600 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier3.Status.ForwardPower = 1000 | Depois: PowerAmplifier3.Status.ForwardPower = 2511
2026-01-13T16:25:10.597546600 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier3.Status.ForwardPower = 2511 | Depois: PowerAmplifier3.Status.ForwardPower = 5011
2026-01-13T16:26:19.993982400 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier3.Status.ForwardPower = 5011 | Depois: PowerAmplifier3.Status.ForwardPower = 15488
2026-01-13T16:27:17.447186400 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier3.Status.ForwardPower = 19952 | Depois: PowerAmplifier3.Status.ForwardPower = 29512
